Array		UPLOAD		Monday 26.06.2017 15:13:12		
adepelley	CONNEXION	Monday 26.06.2017 15:38:52
adepelley	CONNEXION	Monday 26.06.2017 15:40:26
adepelley	CONNEXION	Monday 26.06.2017 15:40:28
adepelley	CONNEXION	Monday 26.06.2017 15:40:29
adepelley	CONNEXION	Monday 26.06.2017 15:40:34
		UPLOAD		Monday 26.06.2017 15:41:11		
adepelley	CONNEXION	Monday 26.06.2017 15:41:27
adepelley	CONNEXION	Monday 26.06.2017 15:41:38
adepelley	CONNEXION	Monday 26.06.2017 15:41:39
adepelley	CONNEXION	Monday 26.06.2017 15:41:39
adepelley	CONNEXION	Monday 26.06.2017 15:41:39
adepelley	CONNEXION	Monday 26.06.2017 15:41:40
adepelley	CONNEXION	Monday 26.06.2017 15:41:40
adepelley	CONNEXION	Monday 26.06.2017 15:41:40
